Code,SOC ,Aspect,Clay fraction,DEM,Year,"Slope length 
factor","Valley bottom
flatness index",Sand fraction,Silt fraction,Slope,"Soil parent
material","Terrain roughness
index","Topographic wetness
index",Curvature,Longitude,Latitude,NDVI,NPP,"Annual mean
temperature","Annual mean
precipitation","Annual
evapotranspiration","Surface solar
radiation","Nighttime landsurface
temperature","Daytime land surface
temperature",OC Emissions,NOx Emissions,NH3 Emissions,CO Emissions,BC Emissions,Population density,GDP,"Distance from the
railway","Distance from the
road","Nighttime light
index",CO2 Emissions,Land use,Total nitrogen,pH,"Cation exchange
capacity",Bulk density
S1940,4.8395,207.5319977,14,1777,2012,0,0.00000328,54,32,15.98700047,92,20.5814991,16,0.061728399,106.38,36.19,0.4348,265,7.050000191,460.5130005,534.0109863,151552000,18.42219925,18.42219925,151.9100037,1383.089966,625.4760132,7868.029785,84.88770294,17,173.3110046,10049.90039,15524.2002,6,491.6919861,2,1944,82,221,127
S1941,4.9757,42.13759995,14,1780,2012,176,0.88745302,54,32,10.83250046,92,12.86079979,16,-0.185185,106.44,36.21,0.5001,307.6000061,7.25,468.743988,534.0109863,153047008,20.6595993,20.6595993,151.9100037,1383.089966,625.4760132,7868.029785,84.88770294,18,167.378006,11313.7002,21189.59961,3,2122.639893,2,2129,82,229,126
S1942,5.0138,56.19509888,14,1774,2012,149,0.52550101,54,32,10.59329987,92,12.45790005,16,-0.654321015,106.43,36.18,0.5262,300.7000122,7.466670036,466.2829895,534.0109863,152368000,19.76720047,19.76720047,151.9100037,1383.089966,625.4760132,7868.029785,84.88770294,37,174.9530029,9000,19235.40039,0,2122.639893,2,2273,82,232,127
S1943,5.5863,280.5610046,14,1940,2012,0,0.013782,54,32,4.636750221,92,5.176869869,16,0.0123457,106.43,36.28,0.6133,336,6.699999809,478.7449951,521.1619873,153524992,18.11689949,18.11689949,44.86660004,1249.969971,149.4309998,4976.040039,42.51129913,69,156.7720032,18439.09961,22825.40039,0,7608.680176,2,2178,82,212,128
S1944,1.3674,195.7510071,16,1145,2011,155,0.00000044,56,28,15.31200027,97,19.65200043,-2,-0.172839999,109.3167,36.85,0.6724,263.6000061,10.27499962,612.335022,518.4359741,161242000,18.43919945,18.43919945,142.8670044,522.9069824,324.7990112,5983.060059,81.3302002,44,277.7900085,13416.40039,1000,2541,1590.380005,2,1464,83,185,122
S1945,1.042,341.5650024,29,477,2007,0,5.8728199,42,29,0.489677995,158,0.774596989,16,0.086419798,87.9333,44.2833,0.753,117.8000031,8.258330345,331.6019897,242.1190033,152300992,15.60990047,15.60990047,23.68639946,94.8368988,250.7400055,1066.900024,16.10989952,12,130.3309937,16000,18000,696,8410.570313,2,1581,84,170,138
S1946,2.0521,15.25510025,8,139,2011,42,8.78610039,85,7,0.88273102,102,2.828429937,0,-0.086419798,123.5167,44.55,0.5958,165.5,6.316669941,374.3510132,504.3789978,136508000,13.10809994,13.10809994,84.49700165,261.5549927,408.321991,2870.070068,33.01079941,2,180.326004,13038.40039,26248.80078,0,4350.490234,2,2597,80,247,133
S1951,0.4337,243.4349976,7,360,2002,93,6.52240992,80,13,1.384780049,101,1.612450004,16,-0.111111,120.7333,42.9167,0.2896,155.8999939,8.024999619,312.8540039,348.4809875,141599008,19.00959969,19.00959969,76.38690186,167.1329956,295.6369934,2831.350098,32.15190125,24,24.89570045,2236.070068,11180.2998,0,358.506012,2,2057,79,206,141
S1955,5.0573,15.99359989,17,2667,2004,29,0,53,30,33.50920105,36,40.24670029,16,-0.864198029,106.23,35.54,0.8587,604,3.691669941,585.585022,633.5310059,151766000,11.64990044,11.64990044,217.8390045,594.6199951,714.1069946,8768.169922,113.6350021,10,38.64020157,16763.09961,5000,0,2080.189941,2,3674,73,211,118
S1956,1.278,29.96220016,14,1831,2007,81,0.517322,54,32,7.552460194,92,8.234080315,16,-0.901234984,106.42,36.23,0.462,184.8999939,7.833330154,429.7690125,503.9259949,151622000,21.90060043,21.90060043,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,34,87.50720215,14142.09961,20124.59961,0,1917.160034,2,2242,82,224,128
S1957,2.0966,48.53229904,14,1946,2007,0,0.00035422,54,32,8.815979958,92,10.54510021,-2,0.074074097,106.44,36.28,0.5073,223.3000031,7.466670036,426.2640076,479.9519958,151620000,21.25469971,21.25469971,53.27310181,729.15802,231.1589966,4806.950195,45.47969818,24,76.57350159,17804.5,23706.5,0,7195.52002,2,2178,82,212,127
S1958,2.2111,88.12830353,14,1896,2007,0,0.00065341,54,32,11.68780041,92,12.28009987,16,-0.086419798,106.42,36.22,0.4629,218.1999969,7.691669941,431.2260132,503.9259949,151622000,21.8288002,21.8288002,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,64,79.05180359,13453.59961,19697.69922,0,1917.160034,2,2260,82,230,128
S1959,2.2321,210.8769989,14,1875,2007,79,0.00000002,54,32,16.98550034,92,19.28730011,16,-0.086419798,106.43,36.27,0.4489,217.8999939,7.525000095,430.9450073,479.9519958,151620000,21.3906002,21.3906002,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,64,85.79049683,17691.80078,22360.69922,1,7195.52002,2,2178,82,212,129
S1960,2.2728,239.7969971,14,1861,2007,171,0.0150271,54,32,5.980629921,92,9.757049561,-1,-0.086419798,106.45,36.26,0.5,188.5,7.775000095,420.7690125,479.9519958,151630000,22.00259972,22.00259972,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,13,86.08049774,15620.5,23706.5,1,7195.52002,2,2257,82,224,128
S1961,3.2872,20.85449982,14,1914,2007,0,0.0609002,54,32,6.925869942,92,9.316650391,0,-0.037037,106.41,36.31,0.4107,189,7.433330059,441.0820007,479.9519958,151620992,21.54170036,21.54170036,53.27310181,729.15802,231.1589966,4806.950195,45.47969818,47,78.5121994,19697.69922,23259.40039,0,1393.599976,2,2332,82,242,126
S1962,3.5597,181.7709961,14,1778,2007,0,0.0981218,54,32,7.471350193,92,10.82590008,16,-0.0123457,106.46,36.3,0.4454,199.1999969,7.841670036,438.3829956,504.243988,151630000,21.30850029,21.30850029,53.27310181,729.15802,231.1589966,4806.950195,45.47969818,35,88.4260025,19723.09961,26076.80078,1,7195.52002,2,2213,82,258,127
S1963,5.2682,232.8150024,14,1757,2007,0,0.28395399,54,32,5.618669987,92,7.469940186,16,-0.345678985,106.45,36.25,0.4243,177.5,8.083330154,415.5969849,503.9259949,151919008,22.21759987,22.21759987,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,16,83.58200073,14866.09961,23259.40039,0,1917.160034,2,2202,82,222,127
S1964,5.6933,8.13010025,14,1794,2007,0,0.69912899,54,32,8.15678978,92,8.461680412,2,0,106.44,36.29,0.4458,203,7.699999809,437.1600037,479.9519958,151620000,21.09670067,21.09670067,53.27310181,729.15802,231.1589966,4806.950195,45.47969818,40,76.57350159,20000,23853.69922,0,7195.52002,2,2232,82,269,127
S1965,5.905,191.6690063,14,1917,2007,96,0.00625282,54,32,14.24610043,92,16.1121006,0,0.037037,106.42,36.27,0.4887,224.8999939,7.333330154,432.8129883,479.9519958,151620000,21.24720001,21.24720001,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,151,94.85579681,17492.90039,21470.90039,1,7195.52002,2,2178,82,212,128
S1966,6.0502,65.88580322,14,1819,2007,0,0.0113703,54,32,8.836370468,92,11.1534996,4,0,106.43,36.24,0.4607,198.3000031,8.074999809,419.8559875,503.9259949,151622000,22.14319992,22.14319992,182.697998,654.7589722,948.6859741,8372.980469,89.14830017,42,70.45140076,14866.09961,20591.30078,0,1917.160034,2,2232,82,269,129
S1967,2.0843,336.2510071,18,553,2012,4,2.55235004,51,31,2.113800049,55,2.190890074,3,-0.049382702,119.78,42.45,0.6356,294.6000061,6.824999809,501.0450134,423.3089905,137595008,15.45600033,15.45600033,326.8089905,1747.089966,1056.5,19164.5,183.7089996,9,129.651001,12000,3605.550049,3,34352.30078,2,1840,79,206,137
S1968,1.3,45.28939819,14,1358,2010,113,0.958354,54,32,20.72680092,92,29.14450073,0,-0.0123457,109.21,36.95,0.6411,325.3999939,9.716670036,479.1619873,578.1110229,159524000,19.84079933,19.84079933,90.04199982,145.2590027,221.4100037,2951.659912,50.87720108,14,226.5449982,12041.59961,4472.140137,475,4473.839844,2,1582,83,187,125
S1969,1.3982,332.7160034,13,4788,2008-2009,37,0.16051,63,24,8.219479561,194,9.899499893,2,-0.049382702,92.8959,34.7266,0.51425,88.29999924,-4.895835161,489.2234955,346.3589935,150772000,7.869375229,7.869375229,1.20015502,9.226025105,18.94804955,86.31529999,0.741303504,1,0.551652014,1000,242687,14,126.2975044,2,3048,78,166,111
S1971,1.8689,251.5650024,29,152,2005,64,8.73274994,42,29,0.734493971,130,1.095450044,-1,-0.049382702,123.5667,44.25,0.5299,208.3999939,6.300000191,519.9660034,528.3709717,136748992,14.02190018,14.02190018,93.06300354,145.7779999,304.9070129,2865.22998,33.53699875,12,62.92570114,19697.69922,13038.40039,8,7952.919922,2,2901,79,220,135
S1973,7.9712,315,27,3454,2011,0,2.70089006,45,28,0.547473013,126,1.732049942,-2,-0.049382702,102.6006,33.0967,0.8579,378.6000061,2.608330011,779.882019,560.5239868,143576000,17.14719963,17.14719963,17.27799988,45.11360168,101.1340027,641.0029907,5.794149876,37,4.31595993,132439,85703,5,2026.930054,2,4678,66,270,110
S1974,8.473,116.5650024,27,3454,2011,0,4.98699999,45,28,0.346258998,126,0.447214007,-2,-0.049382702,102.5936,33.1022,0.8282,360.1000061,2.708329916,778.4489746,560.5239868,148555008,17.2852993,17.2852993,17.27799988,45.11360168,101.1340027,641.0029907,5.794149876,11,4.31595993,133843,85094.10156,5,2026.930054,2,4678,66,270,112
S1975,8.7815,39.53089905,20,3578,2011,45,0.0738768,53,27,10.22980022,151,14.4776001,16,-0.049382702,102.3597,32.6744,0.824,418.2999878,2.458329916,847.940979,576.8120117,139102000,16.63150024,16.63150024,6.441329956,8.305669785,36.24110031,185.3470001,1.931139946,12,4.615119934,124664,68352,0,20429,2,5962,65,287,113
S1976,9.3302,261.8699951,27,3487,2011,0,4.89503002,45,28,1.094849944,126,1.673320055,16,-0.123457,102.4842,32.7844,0.8183,355.7999878,3.066669941,814.414978,572.7940063,140098000,16.74259949,16.74259949,16.88850021,61.28229904,87.251297,713.5789795,6.348849773,20,3.727760077,120333,73681.79688,224,17755.40039,2,5892,67,268,120
S1977,12.2665,173.4799957,17,3492,2011,0,0.64176601,44,39,5.438759804,197,5.458940029,16,-0.074074097,102.5972,32.9097,0.8403,398.2000122,2.641669989,798.4650269,576.0789795,139052992,17.03890038,17.03890038,16.88850021,61.28229904,87.251297,713.5789795,6.348849773,1,4.453939915,119202,82219.20313,1,87.1020966,2,5665,62,290,118
S1978,3.9358,31.18499947,17,3248,2006,0,0.00148949,44,39,13.50109959,197,17.2336998,16,-1.814810038,102.8833,34.9167,0.8023,445.6000061,2.5,650.7579956,599.9829712,160698000,15.4368,15.4368,67.51789856,325.5780029,293.1900024,67.51789856,34.3470993,2,31.08110046,108042,4123.109863,51,37963.10156,2,3750,75,209,111
S1983,4.7883,31.18499947,17,3248,2007,0,0.00148949,44,39,13.50109959,197,17.2336998,16,0.358025014,102.8833,34.9167,0.8413,430.7000122,2.216670036,729.1149902,571.2369995,158819008,16.11650085,16.11650085,72.51519775,344.3989868,306.5090027,3689.929932,35.61660004,2,30.39080048,108042,4123.109863,149,40099.69922,2,3750,75,209,111
S1988,0.7268,7.125020027,29,3372,2013,0,2.97590995,42,29,2.495359898,127,2.28034997,-1,0.790122986,99.1038,37.2455,0.7112,175.1000061,-0.774999976,349.0369873,470.1889954,178556000,20.85490036,20.85490036,51.04639816,908.6989746,451.7650146,5879.049805,48.81169891,4,10.89299965,7810.25,36400.60156,0,643.184021,2,2026,79,176,135
S1989,0.9897,168.6900024,18,3465,2013,25,3.87592006,51,31,0.394793987,55,0.774596989,16,0.333332986,99.0405,37.3739,0.5995,237.3999939,-0.850000024,361.4620056,451.8330078,173984000,20.6093998,20.6093998,51.04639816,908.6989746,451.7650146,5879.049805,48.81169891,1,10.86629963,23706.5,46818.80078,0,189.0410004,2,2291,79,180,133
S1990,1.0505,205.0169983,9,3620,2013,177,1.60545003,75,16,1.281430006,198,1.341639996,0,-0.135802001,98.6362,37.6374,0.5091,162.1999969,-3.708329916,367.4769897,399.0929871,170760000,18.07999992,18.07999992,3.902800083,36.28900146,39.4095993,222.397995,3.345949888,0,9.753930092,68767.70313,74966.70313,0,5.7105699,2,2403,79,204,126
S1991,1.3232,20.93129921,20,4389,2013,0,0.00000103,53,27,32.1257019,193,39.37770081,2,-0.135802001,99.436,37.8423,0.1878,83.19999695,-7.658329964,580.8950195,375.7210083,153255008,8.206110001,8.206110001,0.745254993,1.526010036,10.06840038,20.82189941,0.522280991,0,9.450030327,30000,111485,5,0.135047,2,3485,76,225,116
S1992,2.9394,270,9,3618,2013,0,0.58905798,75,16,3.248440027,198,3.286339998,16,0.83950597,98.6848,37.5401,0.6499,245.5,-3.558330059,351.4679871,411.2609863,170206000,17.35750008,17.35750008,3.902800083,36.28900146,39.4095993,222.397995,3.345949888,3,10.73060036,57280,62514,2,117.2160034,2,2564,79,191,125
S1993,3.2576,215.5379944,20,3540,2013,111,0.22694799,53,27,2.662280083,151,3.033149958,16,-0.246913999,100.4321,37.5647,0.7689,265.8999939,-3.916670084,536.4949951,436.0379944,160547008,15.93999958,15.93999958,3.28144002,60.91070175,49.91220093,357.1650085,2.746340036,2,23.18709946,0,60876.89844,15,329.0409851,2,3503,78,209,110
S1994,3.6735,56.30989838,9,3695,2013,93,2.98754001,75,16,1.116520047,198,2.44949007,1,-0.246913999,98.5054,37.7227,0.6215,148.3999939,-4.308330059,371.9949951,377.6270142,167731008,16.6439991,16.6439991,0.263494998,0.596996009,2.783760071,6.637300014,0.200268999,3,12.64830017,73552.70313,86579.39844,0,255.1390076,2,3069,79,226,120
S1995,3.8505,277.4309998,20,4073,2013,259,0.294925,53,27,5.371900082,151,5.744559765,-3,-0.246913999,99.5284,37.5637,0.8015,273.7999878,-6.466670036,512.3969727,431.0490112,168822000,13.16059971,13.16059971,0.578891993,1.298750043,6.289140224,14.74380016,0.436500996,0,24.49580002,46840.19922,87618.5,0,87.1790009,2,4092,77,244,115
S1996,3.9949,98.13009644,18,3345,2013,155,3.42635989,51,31,1.094849944,55,1.414209962,16,-0.246913999,99.2243,37.1941,0.5862,276.8999939,-0.766667008,352.1239929,479.8349915,179328992,21.4946003,21.4946003,2.495909929,5.443240166,29.22780037,65.5401001,1.83949995,3,6.412399769,1000,38183.80078,77,366.9620056,2,2026,81,184,132
S1997,4,242.1029968,9,3657,2013,28,0.95155299,75,16,4.45897007,198,5.983310223,2,-0.135802001,98.6421,37.6852,0.4643,181.8000031,-4.191669941,383.6589966,388.7200012,169962000,14.88459969,14.88459969,0.263494998,0.596996009,2.783760071,6.637300014,0.200268999,2,6.216690063,69634.79688,80895,0,4.9774499,2,2103,80,194,123
S1998,4.5612,251.5650024,18,3228,2013,0,2.55285001,51,31,0.489677995,54,1.843909979,16,-0.135802001,99.6813,37.1541,0.4928,326.6000061,0.925000012,379.9530029,485.098999,172427008,20.36639977,20.36639977,9.577389717,35.07180023,196.677002,427.3120117,5.606969833,2,30.03520012,1000,62609.89844,1,17423.30078,2,2188,82,182,134
S1999,1.935,173.6600037,24,543,2011,44,3.27021003,29,47,0.701093972,33,2.645750046,16,-0.135802001,108.1667,34.35,0.8213,511.7000122,13.30830002,888.3870239,667.1220093,144143008,20.75149918,20.75149918,1157.72998,2192.530029,2408.639893,36554,447.0880127,151,1594.599976,9848.860352,12041.59961,654,87802.79688,2,1088,79,175,135
S2003,1.364,296.5650024,13,489,2005,0,4.46802998,54,33,0.346258998,80,0.447214007,16,0,87.79,44.18,0.1062,85.19999695,7.016670227,241.7769928,189.4880066,146498000,18.45030022,18.45030022,137.0319977,3378.330078,939.8170166,19329.5,122.1389999,6,48.98180008,6708.200195,7000,355,125121,2,1338,85,147,139
S2004,2.541,333.4349976,4,458,2005,0,6.93759012,93,3,0.346258998,100,1.095450044,16,0,87.96,44.43,0.2429,65.40000153,7.650000095,228.6150055,160.3439941,149552000,20.66600037,20.66600037,26.90839958,92.78900146,202.3769989,1347.839966,18.08749962,0,52.42620087,24207.40039,26172.5,3,66.6034012,2,1963,87,129,140
S2005,1.2992,95.90609741,14,1891,2006,0,0.00040681,54,32,11.14410019,92,15.96249962,16,0,104.14,35.95,0.2065,134.1000061,8.774999619,324.6820068,617.5679932,163244992,22.75219917,22.75219917,178.5709991,517.4000244,522.5390015,178.5709991,76.41329956,29,108.2200012,2236.070068,4472.140137,2254,35290,2,2213,82,146,126
S2007,1.885,323.7460022,14,1973,2006,7,0.0236684,54,32,1.439919949,92,5.385159969,3,0.049382702,104.137,35.946,0.2549,135.8999939,8.383330345,344.2820129,617.5679932,163096000,22.78499985,22.78499985,178.5709991,517.4000244,522.5390015,178.5709991,76.41329956,29,98.16960144,2828.429932,3605.550049,1535,153963,2,2543,81,154,126
S2009,10.5419,114.8290024,17,2229,2004,0,0,62,21,11.28369999,73,20.1345005,16,-0.098765403,102.5333,37.6667,0.3287,128,3.683330059,387.7980042,536.7650146,153603008,14.09010029,14.09010029,18.48590088,30.15629959,84.30599976,633.992981,8.276940346,4,132.1239929,20615.5,17204.69922,0,1124.640015,2,3030,79,186,118
S2012,1.8483,279.7520142,21,3601,2012,147,0.0000353,47,32,9.95456028,193,11.50650024,0,0,99.3289,37.5339,0.6287,206.6999969,-4.949999809,436.8880005,429.6400146,165968000,7.825829983,7.825829983,0.694199979,1.081740022,5.860760212,17.10860062,0.533042014,0,6.631949902,40000,74431.20313,4,0.470837,2,3486,78,192,112
S2013,2.8472,350.5379944,18,3284,2012,0,3.64209008,51,31,0.941851974,55,5.779270172,-1,-0.024691399,99.3955,37.1474,0.7298,266.2999878,-1.033329964,377.7890015,481.8110046,175592992,17.01639938,17.01639938,7.881140232,47.29589844,73.67120361,369.5320129,6.044000149,5,6.758709908,4000,45793,4,87.9409027,2,2067,82,177,130
S2014,3.0281,218.2899933,19,3230,2012,79,2.73181009,58,23,1.873630047,54,1.949360013,1,0,99.7082,37.1678,0.6968,360.2000122,0.283333004,387.6380005,491.4630127,168838000,18.33959961,18.33959961,8.305680275,32.47090149,186.7059937,381.0490112,4.831270218,5,21.11050034,1000,64412.69922,4,16150.2998,2,2263,80,185,135
S2015,4.036,309.7099915,5,3708,2012,93,0.514247,57,38,11.71049976,196,7.615769863,1,0,98.7127,37.6997,0.5685,207.1000061,-5.858329773,433.802002,369.4700012,164944000,13.38389969,13.38389969,0.318618,0.498109013,2.591229916,7.782169819,0.246205002,3,13.81680012,65513.39844,81221.89844,0,4.8590298,2,3592,77,201,114
S2016,4.8716,271.7359924,45,3469,2012,133,0.29777601,14,41,2.554559946,153,2.75680995,0,-0.037037,100.0817,37.5333,0.864,288.6000061,-4.074999809,454.4880066,443.7359924,152958000,13.39780045,13.39780045,27.13899994,208.6390076,549.7810059,1731.140015,17.31419945,7,14.58259964,25942.19922,86400.20313,2,51.2806015,2,4005,78,180,118
S2017,5.4077,92.3859024,9,3460,2012,0,3.63613009,75,16,3.714489937,198,4.690420151,-1,-0.037037,100.2316,37.3984,0.8662,282.6000061,-3.383330107,467.0669861,463.631012,163616000,15.27099991,15.27099991,27.13899994,208.6390076,549.7810059,1731.140015,17.31419945,0,28.74209976,18000,86278.60156,3,17903.5,2,3828,78,238,116
S2018,5.9732,236.3099976,27,3393,2012,9,1.11056995,43,30,0.558314025,47,1.341639996,3,0.111111,100.6173,37.2565,0.8051,342.8999939,-1.608330011,505.0650024,463.9909973,163092000,16.63069916,16.63069916,12.49940014,90.05970001,139.4589996,689.5180054,9.151949883,5,39.73770142,12041.59961,76380.60156,3,7948.979981,2,2894,79,175,124
S2019,6.308,171.6069946,7,3558,2012,242,0.43785101,85,8,4.763160229,200,4.857979774,16,-0.074074097,100.385,37.5259,0.8096,269.6000061,-4.675000191,501.9779968,430.1419983,153639008,15.22070026,15.22070026,3.067960024,61.8280983,46.86869812,341.348999,2.743560076,0,26.50399971,3000,66483.10156,0,244.4680023,2,3502,77,202,116
S2020,7.027,249.4440002,27,3421,2012,29,0.382166,43,30,2.64425993,47,3.94968009,16,-0.0123457,100.513,37.352,0.8083,324.7999878,-2.608330011,492.6489868,470.3280029,161386000,15.83430004,15.83430004,12.49940014,90.05970001,139.4589996,689.5180054,9.151949883,5,61.75559998,3000,74953.29688,1,1037.579956,2,3143,78,237,122
S2021,7.433,229.0859985,27,3375,2012,180,2.82557988,43,30,1.536509991,47,1.612450004,0,-0.024691399,100.2098,37.3415,0.7246,306,-0.81666702,457.2420044,476.7229919,165335008,18.08679962,18.08679962,27.13899994,208.6390076,549.7810059,1731.140015,17.31419945,3,34.3667984,11000,92097.79688,6,17903.5,2,3661,78,180,121
S2022,7.6216,110.3759995,16,3811,2012,0,0.49347299,56,28,8.607150078,97,9.53938961,1,-0.024691399,98.4366,37.8709,0.6284,150.1999969,-6.125,430.5830078,330.1619873,159308000,13.80669975,13.80669975,1.366520047,2.136329889,11.11349964,33.37689972,1.055940032,0,7.57322979,67416.60156,104235,2,2.9756899,2,3586,75,203,116
